"","No.","Variable","Description"
"1",1,"record.id","1"
"2",2,"some.id","8.164566e+17"
"3",3,"firstname","Mrs. Jaclyn Purdy IV"
"4",4,"lastname","Purdy"
"5",5,"gender","female"
"6",6,"birth.date",NA
"7",7,"email","oschulist@yahoo.com"
"8",8,"m.nmbr","871931495"
"9",9,"h.nmbr","633548963"
"10",10,"addr.1","Apt. 841"
"11",11,"addr.2","Frida Prairie"
"12",12,"cityname","South Arvidtown"
"13",13,"postcode","AB97 9BB"
"14",14,"county","Maine"
"15",15,"nis","DD7838876"
"16",16,NA,"81"
"17",17,NA,"2"
"18",18,NA,"27"
