"userdetail_id","cont_id","customer_id","forename","surname","gender","birth_date","balance","email","mobilenumber","homenumber","address1","address2","cityname","postcode","county","matches","nis"
"1","89822615533","816456582354484618","Mrs. Jaclyn Purdy IV","Purdy","female","1981-02-27 07:07:58","7756.36","oschulist@yahoo.com","871931495","633548963","Apt. 841","Frida Prairie","South Arvidtown","AB97 9BB","Maine","","DD7838876"
"2","97769469562","452532212443979896","Waino Beer","Corkery","male","1992-08-16 18:16:34","296.44","aubree92@wiegand.com","541184734","872771589","Suite 632","Watsica Dale","West Felipe","BB37 51AA","Alaska","","DD3841940"
"3","71167673937","215659241964643484","Yoshiko Gerlach V","Hettinger","female","1976-07-06 21:43:24","8015.22","ernser.joana@mueller.com","376195637","869258775","Suite 594","Gisselle Valleys","Kozeyfort","AB5 7BA","Rhode Island","","CC2461082"
"4","91441196894","346684994814988662","Germaine Predovic","Wuckert","female","1971-09-22 23:29:27","7762.45","zbahringer@steuber.info","659268478","962693331","Apt. 530","Dorian Hollow","Jeanneland","CC94 58CA","Delaware","","CD8470482"
"5","73272199165","283591867738465114","Allie Rosenbaum","Grady","female","1973-11-19 10:18:01","5076.84","sven85@hotmail.com","612675551","223491859","Apt. 143","Jones Springs","Carlomouth","BB52 2DA","Oregon","","DB2410794"
"6","72611221884","562874977114186358","Maverick Kris","Feil","male","1988-12-15 22:14:13","9227.51","ghegmann@gmail.com","878278185","762558375","Suite 462","Curt Prairie","West Camronchester","CA0 4CA","Illinois","","CC6020255"
"7","19856875858","297743946558931958","Johnson Thompson","Grimes","male","1993-11-23 01:05:51","4898.8","hdare@hotmail.com","134817966","852998546","Apt. 897","Stokes Unions","East Shawnaville","DC97 2AD","Kansas","","CD5699425"
"8","49658635768","827562291449739482","Itzel Turner","Abshire","female","1998-09-06 08:46:48","241.93","nmann@windler.com","955224195","696427424","Suite 436","Justen Parks","D'Amoreville","AB08 87CC","Kentucky","","CA0566624"
"9","49987659769","587833677987147617","Ms. Tiffany Macejkovic III","Green","female","1983-02-17 07:27:54","4541","dhirthe@hotmail.com","663451366","447182541","Suite 191","Dock Shores","West Crystelberg","DA9 63DD","Delaware","","BB2182409"
"10","57589852935","874911487671925469","Lou Kautzer","Russel","female","1999-01-16 14:59:31","2191.09","oda.schmitt@yahoo.com","274888992","442131956","Suite 941","Conroy Isle","Hickleland","BA26 96CA","Rhode Island","","BD1263560"
"11","65228681196","999228157997733351","Dr. Madonna Crist PhD","Reichel","female","1981-10-20 11:11:21","9524.46","monahan.arden@corwin.org","151963943","293245663","Apt. 004","Murray Gateway","Lake Sophia","CB53 5DC","Minnesota","","DA0966710"
