"","id","X_recoid_","X_someid_","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_mnumber_","X_hnumber_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match","Class","Weight"
"1","  166","100755","391132453336254336","Melany Walker","Koss","male","1999-10-01","vskiles@yahoo.com","1095945136","1082698693","Suite 617","Rhiannon Hills","New Alainamouth","CA3 7AA","Iowa","CA9554335","99","10"," 1","","",""
"2","71892","100755 D","148952954411219914","Melany Walker","Koss","male","1999-10-01","vskiles@yahoo.com","1095945136","1082698693","Suite 617","Rhiannon Hills","New Alainamouth","CA3 7AA","Iowa","CA9554335","99","10"," 1",NA,"L","1.0000000"
"3","","","","","","","","","","","","","","","","","","","","","",""
"4","  646","25787","345362179836342016","Maddison Bednar","Hauck","female","1971-07-04","jammie03@cartwright.biz","849397759","6055018151","Suite 640","Pollich Villages","Dejonport","CA7 94DB","Nebraska","BD1267983","71"," 7"," 4","","",""
"5"," 9479","25787 D","373644959996764571","Maddison Bednar","Hauck","female","1971-07-04","jammie03@cartwright.biz","849397759","6055018151","Suite 640","Pollich Villages","Dejonport","CA7 94DB","Nebraska","BD1267983","71"," 7"," 4",NA,"L","1.0000000"
"6","","","","","","","","","","","","","","","","","","","","","",""
"7","  689","184722 D","176616752325295341","Alexa Herman MD","Feeney","female","1985-08-29","zbashirian@hamill.com","5767802168","8945582780","Suite 852","Schmidt Port","New Heber","AA97 62CC","District of Columbia","AC2478645","85"," 8","29","","",""
"8","68638","184722","882574617937587712","Alexa Herman MD","Feeney","female","1985-08-29","zbashirian@hamill.com","","8945582780","Suite 852","Schmidt Port","New Heber","AA97 62CC","District of Columbia","AC2478645","85"," 8","29",NA,"L","1.0000000"
"9","","","","","","","","","","","","","","","","","","","","","",""
"10","  799","46564","972932425592332160","Luther Davis","Reinger","male","1970-03-26","ezequiel19@hotmail.com","5218358658","762210373","Suite 670","Gregorio Mountains","Conroymouth","BA1 04DA","California","BA8837340","70"," 3","26","","",""
"11","77424","46564 D","251612177425221935","Luther Davis","Reinger","male","1970-03-26","ezequiel19@hotmail.com","5218358658","762210373","Suite 670","Gregorio Mountains","Conroymouth","BA1 04DA","California","BA8837340","70"," 3","26",NA,"L","1.0000000"
"12","","","","","","","","","","","","","","","","","","","","","",""
"13"," 1436","68304 D","757918286996661826","Dr. Simeon Batz Jr.","Johnston","male","1988-02-26","lpfeffer@jenkins.com","1046327452","7058326494","Suite 610","Conroy Flat","Stevieshire","CB74 46CA","New Mexico","BA0042537","88"," 2","26","","",""
"14","37953","68304","636833543714365952","Dr. Simeon Batz Jr.","Johnston","male","1988-02-26","lpfeffer@jenkins.com","1046327452","7058326494","Suite 610","Conroy Flat","Stevieshire","CB74 46CA","New Mexico","BA0042537","88"," 2","26",NA,"L","1.0000000"
"15","","","","","","","","","","","","","","","","","","","","","",""
"16"," 1593","79203 D","644986121115714127","Fernando Leuschke","Wiza","male","1995-10-17","hahn.annabelle@yahoo.com","4249095132","9750850975","Apt. 167","Gislason Stream","Durganhaven","CB05 14BA","","AA9717384","95","10","17","","",""
"17","59935","79203","586647699863268480","Fernando Leuschke","Wiza","male","1995-10-17","hahn.annabelle@yahoo.com","4249095132","9750850975","Apt. 167","Gislason Stream","Durganhaven","CB05 14BA","","AA9717384","95","10","17",NA,"L","1.0000000"
"18","","","","","","","","","","","","","","","","","","","","","",""
