"","id","X_recoid_","X_someid_","X_firstname_","X_lastname_","X_gender_","X_birth_date_","X_email_","X_mnumber_","X_hnumber_","X_addr1_","X_addr2_","X_cityname_","X_postcode_","X_county_","X_nis_","X_b_year_","X_b_month_","X_b_day_","is_match","Class","Weight"
"1","   82","163281","398992196869931776","Mr. Francesco Shields","Muller","male","1978-04-24","carmen51@yahoo.com","9930853493","6215905315","Suite 900","Summer Branch","Chelseyton","AC42 6CD","","DD3454489","78"," 4","24","","",""
"2"," 5820","163281 D","461337448655974527","Mr. Francesco Shields","Muller","male","1978-04-24","carmen51@yahoo.com","9930853493","6215905315","Suite 900","Summer Branch","Chelseyton","AC42 6CD","","DD3454489","78"," 4","24",NA,"L","1.0000000"
"3","","","","","","","","","","","","","","","","","","","","","",""
"4"," 1516","76634","146812436338353632","Natalia Cummerata Sr.","Hettinger","female","1991-04-01","geoffrey52@mcclure.biz","1044259589","998571583","Suite 098","Bradtke Expressway","Magdalenaside","CA56 13AA","North Dakota","AC9297377","91"," 4"," 1","","",""
"5"," 3348","76634 D","684263888728912467","Natalia Cummerata Sr.","Hettinger","female","1991-04-01","geoffrey52@mcclure.biz","1044259589","998571583","Suite 098","Bradtke Expressway","Magdalenaside","CA56 13AA","North Dakota","AC9297377","91"," 4"," 1",NA,"L","1.0000000"
"6","","","","","","","","","","","","","","","","","","","","","",""
"7"," 4848","198572 D","741152578785737725","Nikita Schaden","King","female","1995-07-12","nadia53@gmail.com","795746506","553148485","Suite 006","Joelle Landing","Elmoberg","DC0 1DD","Wyoming","AA2582483","95"," 7","12","","",""
"8","13270","198572","175721899355527392","Nikita Schaden","King","female","1995-07-12","nadia53@gmail.com","795746506","553148485","Suite 006","Joelle Landing","Elmoberg","DC0 1DD","Wyoming","AA2582483","95"," 7","12",NA,"L","1.0000000"
"9","","","","","","","","","","","","","","","","","","","","","",""
"10"," 4977","182419","127521424936189456","Miss Alexandria Feil I","Schamberger","female","1994-04-20","hhermiston@yahoo.com","3783316857","3625944090","Suite 839","Amaya Cliffs","Rosinaport","BD72 3CC","New Hampshire","CA5838805","94"," 4","20","","",""
"11","10248","182419 D","861399346363459123","Miss Alexandria Feil I","Schamberger","female","1994-04-20","hhermiston@yahoo.com","3783316857","3625944090","Suite 839","Amaya Cliffs","Rosinaport","BD72 3CC","New Hampshire","CA5838805","94"," 4","20",NA,"L","1.0000000"
"12","","","","","","","","","","","","","","","","","","","","","",""
"13"," 7584","198139","557999237234742656","Claud DuBuque","Considine","male","1999-06-16","zachary.pollich@yahoo.com","257866996","2168648020","Suite 575","Dorris Port","Port Hannah","DC8 48AA","Ohio","CC1140077","99"," 6","16","","",""
"14","18748","198139 D","121332738127463814","Claud DuBuq","Considine","male","1999-06-16","zachary.pollich@yahoo.com","257866996","2168648020","Suite 575","Dorris Port","Port Hannah","DC8 48AA","Ohio","CC1140077","99"," 6","16",NA,"L","1.0000000"
"15","","","","","","","","","","","","","","","","","","","","","",""
"16"," 9722","101557","967133481896636800","Miss Phyllis Orn","Stoltenberg","female","1983-02-07","diamond.lynch@yahoo.com","9254821996","9817942257","Suite 498","Dylan Circle","North Janieview","AC3 0DC","Texas","BB3128871","83"," 2"," 7","","",""
"17","11939","101557 D","119399182446863154","Miss Phyllis Orn","Stoltenberg","female","1983-02-07","diamond.lynch@yahoo.com","9254821996","9817942257","Suite 498","Dylan Circle","North Janieview","AC3 0DC","Texas","BB3128871","83"," 2"," 7",NA,"L","1.0000000"
"18","","","","","","","","","","","","","","","","","","","","","",""
"19"," 9795","65978 D","887644532526411212","Clovis Schneider","Walker","male","1992-05-08","angelo.tromp@gmail.com","3646643646","4818172416","Suite 100","Jovany Heights","New Joebury","AA83 85BD","Florida","BA1702971","92"," 5"," 8","","",""
"20","16343","65978","835168787187823232","Clovis Schneider","Walker","male","1992-05-08","angelo.tromp@gmail.com","3646643646","4818172416","Suite 100","Jovany Heights","New Joebury","AA83 85BD","Florida","BA1702971","92"," 5"," 8",NA,"L","1.0000000"
"21","","","","","","","","","","","","","","","","","","","","","",""
"22"," 9837","154650 D","664866215792174435","Caroline Goodwin","O'Hara","female","1984-06-28","strosin.brionna@cassin.com","2988130147","5836195029","Suite 148","Winston Mission","Millsborough","DB6 8BD","Ohio","BB8645305","84"," 6","28","","",""
"23","16461","154650","916836183785297536","Caroline Goodwin","O'Hara","female","1984-06-28","strosin.brionna@cassin.com","2988130147","5836195029","Suite 148","Winston Mission","Millsborough","DB6 8BD","Ohio","BB8645305","84"," 6","28",NA,"L","1.0000000"
"24","","","","","","","","","","","","","","","","","","","","","",""
"25","  261","79856 D","334185538543669733","Erick Rosenbaum","Mills","","1977-05-13","jerrell09@kozey.com","7423528985","1174853011","Suite 812","Pagac Common","West Alethabury","AB90 3CC","Arkansas","BD9696925","77"," 5","13","","",""
"26","16355","79856","171369518584241664","Erick Rosenbaum","Mills","male","1977-05-13","jerrell09@kozey.com","7423528985","1174853011","Suite 812","Pagac Common","West Alethabury","AB90 3CC","Arkansas","BD9696925","77"," 5","13",NA,"L","0.9875713"
"27","","","","","","","","","","","","","","","","","","","","","",""
"28","  590","149342 D","176596643478835664","Pablo Stracke","Schulist","","1976-10-21","ericka01@gmail.com","3712742041","4228686351","Suite 752","Russel Ville","Lizashire","BD2 73AB","Nebraska","AA8918160","76","10","21","","",""
"29","12675","149342","967949471864994816","Pablo Stracke","Schulist","male","1976-10-21","ericka01@gmail.com","3712742041","4228686351","Suite 752","Russel Ville","Lizashire","BD2 73AB","Nebraska","AA8918160","76","10","21",NA,"L","0.9875713"
"30","","","","","","","","","","","","","","","","","","","","","",""
"31","  976","171300","127711864991436576","Eloise Bins","Lang","female","1970-04-05","amani50@muller.com","1489487048","2765331525","Apt. 065","Noah Inlet","Gleasonmouth","BD4 09CB","Montana","AB5909383","70"," 4"," 5","","",""
"32"," 3869","171300 D","511987491183364735","Eloise Bins","Lang","","1970-04-05","amani50@muller.com","1489487048","2765331525","Apt. 065","Noah Inlet","Gleasonmouth","BD4 09CB","Montana","AB5909383","70"," 4"," 5",NA,"L","0.9875713"
"33","","","","","","","","","","","","","","","","","","","","","",""
"34"," 1379","84532 D","638995529238634558","Ms. Christiana Jaskolski","Predovic","","1978-07-21","ujakubowski@yahoo.com","7759931388","1720153310","Apt. 801","Litzy Place","South Torrancemouth","BC2 2CB","Georgia","BA8977812","78"," 7","21","","",""
"35"," 6158","84532","594779189898588928","Ms. Christiana Jaskolski","Predovic","female","1978-07-21","ujakubowski@yahoo.com","7759931388","1720153310","Apt. 801","Litzy Place","South Torrancemouth","BC2 2CB","Georgia","BA8977812","78"," 7","21",NA,"L","0.9875713"
"36","","","","","","","","","","","","","","","","","","","","","",""
"37"," 1792","21927","131599231995976112","Maymie Bogisich","Predovic","female","1970-06-24","cstoltenberg@hotmail.com","5747972106","","Suite 607","Jewel Highway","Port Elianechester","DB65 63BC","Illinois","DD6348034","70"," 6","24","","",""
"38","14219","21927 D","186576267349319286","Maymie Bogisich","Predovic","","1970-06-24","cstoltenberg@hotmail.com","","2587957677","Suite 607","Jewel Highway","Port Elianechester","DB65 63BC","Illinois","DD6348034","70"," 6","24",NA,"L","0.9875713"
"39","","","","","","","","","","","","","","","","","","","","","",""
"40"," 1881","110962","989645277824278784","Merlin Aufderhar","Schmidt","male","1980-08-21","sophia50@hotmail.com","3943001186","5167764570","Suite 589","Deven Valley","Zemlakville","BD41 5CD","Wyoming","BD0912384","80"," 8","21","","",""
"41","14508","110962 D","575197574517863418","Merlin Aufderhar","Schmidt","","1980-08-21","sophia50@hotmail.com","3943001186","5167764570","Suite 589","Deven Valley","Zemlakville","BD41 5CD","Wyoming","BD0912384","80"," 8","21",NA,"L","0.9875713"
"42","","","","","","","","","","","","","","","","","","","","","",""
"43"," 1955","90611 D","861556286385685913","Julian Casper","Armstrong","","1989-12-26","blaise95@gmail.com","8089515717","9125148852","Apt. 448","Carter Villages","Powlowskibury","AD65 6AD","Illinois","BB4076536","89","12","26","","",""
"44","15002","90611","631851184275237504","Julian Casper","Armstrong","male","1989-12-26","blaise95@gmail.com","8089515717","9125148852","Apt. 448","Carter Villages","Powlowskibury","AD65 6AD","Illinois","BB4076536","89","12","26",NA,"L","0.9875713"
"45","","","","","","","","","","","","","","","","","","","","","",""
"46"," 2491","173333 D","551235228218643715","Gerardo Lindgren","Toy","","1998-09-04","milton65@yahoo.com","9445910470","7761481186","Suite 729","Glover Viaduct","East Dewitt","BB12 5DB","North Dakota","BA2004195","98"," 9"," 4","","",""
"47"," 4563","173333","143387544492588672","Gerardo Lindgren","Toy","male","1998-09-04","milton65@yahoo.com","9445910470","","Suite 729","Glover Viaduct","East Dewitt","BB12 5DB","North Dakota","BA2004195","98"," 9"," 4",NA,"L","0.9875713"
"48","","","","","","","","","","","","","","","","","","","","","",""
"49"," 2518","7315 D","612197258722711778","Margot Hodkiewicz","Leffler","","1976-11-13","grady.dasia@yahoo.com","9891640751","3360923776","Apt. 226","Willow Run","Mariloubury","CA3 7DD","Arizona","DA8912327","76","11","13","","",""
"50"," 6200","7315","274581443547646784","Margot Hodkiewicz","Leffler","female","1976-11-13","grady.dasia@yahoo.com","9891640751","3360923776","Apt. 226","Willow Run","Mariloubury","CA3 7DD","Arizona","DA8912327","76","11","13",NA,"L","0.9875713"
"51","","","","","","","","","","","","","","","","","","","","","",""
"52"," 3843","8427 D","555544964181627199","Sarah Gerlach DDS","Terry","","1975-10-24","wshanahan@gislason.biz","734414853","55194358","Suite 858","Barney Viaduct","Agustinside","DB76 5CC","Nebraska","DC1425266","75","10","24","","",""
"53"," 8948","8427","196277275444788448","Sarah Gerlach DDS","Terry","female","1975-10-24","wshanahan@gislason.biz","734414853","55194358","Suite 858","Barney Viaduct","Agustinside","DB76 5CC","Nebraska","DC1425266","75","10","24",NA,"L","0.9875713"
"54","","","","","","","","","","","","","","","","","","","","","",""
"55"," 4439","132107 D","332788145585312349","Miss Eloise Dicki","Reichert","","1982-05-08","torrance56@kuhn.com","","","Suite 390","Brody Views","Ivoryland","DB12 1DC","Wisconsin","BB8800810","82"," 5"," 8","","",""
"56","12698","132107","563132836716775808","Miss Eloise Dicki","Reichert","female","1982-05-08","torrance56@kuhn.com","153891818","6478120145","Suite 390","Brody Views","Ivoryland","DB12 1DC","Wisconsin","BB8800810","82"," 5"," 8",NA,"L","0.9875713"
"57","","","","","","","","","","","","","","","","","","","","","",""
"58"," 5096","25208","397352357649538496","Mr. Selmer Zulauf DDS","McGlynn","male","1977-06-19","connelly.macy@wisozk.com","365207840","6914373416","Apt. 222","Elisha Village","Loganberg","CC5 40BC","Tennessee","DA2762700","77"," 6","19","","",""
"59","16717","25208 D","856569947571237179","Mr. Selmer Zulauf DDS","McGlynn","","1977-06-19","connelly.macy@wisozk.com","365207840","6914373416","Apt. 222","Elisha Village","Loganberg","CC5 40BC","Tennessee","DA2762700","77"," 6","19",NA,"L","0.9875713"
"60","","","","","","","","","","","","","","","","","","","","","",""
"61"," 5137","91892 D","454757882932816813","Miss Gia Schmitt DDS","Terry","","1972-07-09","ozieme@ritchie.net","9282406392","9999986757","Apt. 254","Baby Walk","Eldoraton","AD20 3DB","Louisiana","AC0840293","72"," 7"," 9","","",""
"62"," 7813","91892","537494415123269440","Miss Gia Schmitt DDS","Terry","female","1972-07-09","ozieme@ritchie.net","9282406392","9999986757","Apt. 254","Baby Walk","Eldoraton","AD20 3DB","Louisiana","AC0840293","72"," 7"," 9",NA,"L","0.9875713"
"63","","","","","","","","","","","","","","","","","","","","","",""
"64"," 5244","188280 D","858696193799647859","Parker Lang","Ruecker","","1990-08-01","ogoodwin@haag.com","8693044562","3212884069","Apt. 702","Itzel Neck","Shanahanfurt","DD99 8CD","Pennsylvania","AA1407872","90"," 8"," 1","","",""
"65"," 6439","188280","188219316486174976","Parker Lang","Ruecker","male","1990-08-01","ogoodwin@haag.com","8693044562","3212884069","Apt. 702","Itzel Neck","Shanahanfurt","DD99 8CD","Pennsylvania","AA1407872","90"," 8"," 1",NA,"L","0.9875713"
"66","","","","","","","","","","","","","","","","","","","","","",""
"67"," 5405","126441 D","157833363786381413","Mr. Joaquin Haley MD","Conn","","1997-10-14","sigurd84@yahoo.com","6832362718","3628613212","Apt. 542","Dejuan Place","Mertieport","AC84 8BD","New York","DD4396193","97","10","14","","",""
"68","18641","126441","454966374419849408","Mr. Joaquin Haley MD","Conn","male","1997-10-14","sigurd84@yahoo.com","6832362718","3628613212","Apt. 542","Dejuan Place","Mertieport","AC84 8BD","New York","DD4396193","97","10","14",NA,"L","0.9875713"
"69","","","","","","","","","","","","","","","","","","","","","",""
"70"," 6460","88611 D","295115551178553756","Roger Roberts","Hills","","1996-03-05","lavern.cole@hahn.com","1286773346","4143459845","Suite 339","Lauretta Center","South Nannie","CB5 04BD","North Dakota","CA3420087","96"," 3"," 5","","",""
"71"," 8887","88611","447645898223929920","Roger Roberts","Hills","male","1996-03-05","lavern.cole@hahn.com","1286773346","4143459845","Suite 339","Lauretta Center","South Nannie","CB5 04BD","North Dakota","CA3420087","96"," 3"," 5",NA,"L","0.9875713"
"72","","","","","","","","","","","","","","","","","","","","","",""
